12/30/16::06:29:15: Assembling BEM matrix at Omega=1
12/30/16::06:29:15: Assembling BEM matrix block (0,0)
12/30/16::06:59:48: Computing fields at 1 evaluation points...
12/30/16::06:59:48: Computing fields at 1 evaluation points...
12/30/16::06:59:49: Computing fields at 1 evaluation points...
12/30/16::06:59:49: Computing fields at 1 evaluation points...
12/30/16::06:59:50: Computing fields at 1 evaluation points...
12/30/16::06:59:51: Computing fields at 1 evaluation points...
12/30/16::06:59:52: Computing fields at 1 evaluation points...
12/30/16::06:59:52: Computing fields at 1 evaluation points...
12/30/16::06:59:53: Computing fields at 1 evaluation points...
12/30/16::06:59:53: Computing fields at 1 evaluation points...
12/30/16::06:59:54: Computing fields at 1 evaluation points...
12/30/16::06:59:55: Computing fields at 1 evaluation points...
12/30/16::06:59:56: Computing fields at 1 evaluation points...
12/30/16::06:59:56: Computing fields at 1 evaluation points...
12/30/16::06:59:56: error: invalid region index 0 (aborting)
